#frames, pagefaults, writebacks 
1, 14963, 7490
2, 14934, 7490
3, 14901, 7490
4, 14863, 7489
5, 14839, 7489
6, 14807, 7489
7, 14777, 7489
8, 14744, 7489
9, 14714, 7489
10, 14683, 7489
11, 14653, 7488
12, 14612, 7488
13, 14588, 7487
14, 14562, 7486
15, 14531, 7486
16, 14502, 7485
17, 14468, 7484
18, 14445, 7483
19, 14412, 7482
20, 14381, 7481
21, 14346, 7481
22, 14323, 7481
23, 14301, 7480
24, 14267, 7479
25, 14233, 7478
26, 14201, 7478
27, 14168, 7478
28, 14131, 7478
29, 14100, 7478
30, 14077, 7477
31, 14044, 7476
32, 14020, 7475
33, 13989, 7474
34, 13962, 7473
35, 13939, 7472
36, 13909, 7471
37, 13881, 7471
38, 13858, 7470
39, 13816, 7469
40, 13788, 7468
41, 13760, 7468
42, 13725, 7468
43, 13691, 7468
44, 13662, 7468
45, 13642, 7468
46, 13613, 7467
47, 13587, 7467
48, 13557, 7466
49, 13530, 7465
50, 13503, 7465
51, 13481, 7465
52, 13453, 7464
53, 13422, 7463
54, 13375, 7463
55, 13352, 7463
56, 13325, 7463
57, 13297, 7463
58, 13267, 7463
59, 13246, 7463
60, 13211, 7463
61, 13182, 7461
62, 13149, 7460
63, 13119, 7459
64, 13076, 7458
65, 13047, 7458
66, 13015, 7457
67, 12979, 7457
68, 12961, 7456
69, 12933, 7455
70, 12905, 7454
71, 12882, 7454
72, 12845, 7453
73, 12814, 7453
74, 12783, 7452
75, 12752, 7452
76, 12715, 7452
77, 12689, 7452
78, 12665, 7452
79, 12634, 7451
80, 12602, 7451
81, 12578, 7450
82, 12551, 7450
83, 12527, 7450
84, 12488, 7449
85, 12457, 7449
86, 12433, 7449
87, 12398, 7449
88, 12368, 7449
89, 12336, 7449
90, 12299, 7449
91, 12283, 7448
92, 12255, 7448
93, 12230, 7447
94, 12205, 7447
95, 12183, 7447
96, 12146, 7446
97, 12118, 7445
98, 12067, 7447
99, 12044, 7447
100, 12016, 7447
