m, pagefaults, writebacks 
1, 14307, 7504
2, 14300, 7505
3, 14282, 7504
4, 14278, 7504
5, 14287, 7504
6, 14279, 7504
7, 14271, 7505
8, 14283, 7504
9, 14267, 7505
10, 14258, 7504
11, 14287, 7504
12, 14268, 7504
13, 14277, 7505
14, 14275, 7505
15, 14279, 7504
16, 14271, 7504
17, 14280, 7503
18, 14265, 7504
19, 14261, 7503
20, 14276, 7504
21, 14255, 7504
22, 14285, 7503
23, 14273, 7504
24, 14276, 7504
25, 14279, 7504
26, 14283, 7504
27, 14273, 7506
28, 14271, 7504
29, 14272, 7504
30, 14264, 7504
31, 14286, 7505
32, 14263, 7503
33, 14287, 7505
34, 14296, 7503
35, 14269, 7505
36, 14262, 7504
37, 14252, 7504
38, 14266, 7503
39, 14303, 7505
40, 14298, 7503
41, 14285, 7502
42, 14257, 7503
43, 14323, 7502
44, 14224, 7502
45, 14285, 7503
46, 14280, 7502
47, 14285, 7503
48, 14306, 7504
49, 14292, 7502
50, 14278, 7501
51, 14306, 7502
52, 14268, 7503
53, 14301, 7500
54, 14250, 7505
55, 14295, 7505
56, 14268, 7502
57, 14288, 7501
58, 14304, 7505
59, 14293, 7504
60, 14262, 7501
61, 14262, 7501
62, 14275, 7502
63, 14261, 7500
64, 14271, 7503
65, 14320, 7505
66, 14304, 7503
67, 14286, 7502
68, 14338, 7501
69, 14320, 7503
70, 14277, 7502
71, 14272, 7503
72, 14282, 7502
73, 14334, 7501
74, 14277, 7504
75, 14285, 7501
76, 14303, 7500
77, 14299, 7505
78, 14299, 7502
79, 14278, 7503
80, 14288, 7500
81, 14272, 7502
82, 14277, 7502
83, 14270, 7505
84, 14309, 7502
85, 14305, 7497
86, 14297, 7498
87, 14302, 7498
88, 14247, 7498
89, 14306, 7500
90, 14287, 7501
91, 14277, 7505
92, 14305, 7501
93, 14247, 7501
94, 14292, 7501
95, 14326, 7503
96, 14278, 7502
97, 14320, 7501
98, 14325, 7500
99, 14275, 7501
100, 14311, 7501
