#frames, pagefaults, writebacks 
1, 15013, 7513
2, 14984, 7513
3, 14951, 7513
4, 14913, 7513
5, 14888, 7512
6, 14857, 7512
7, 14825, 7512
8, 14795, 7511
9, 14764, 7510
10, 14733, 7510
11, 14708, 7509
12, 14665, 7509
13, 14642, 7509
14, 14610, 7509
15, 14581, 7508
16, 14547, 7508
17, 14520, 7507
18, 14492, 7506
19, 14459, 7506
20, 14430, 7505
21, 14400, 7505
22, 14371, 7504
23, 14340, 7504
24, 14314, 7504
25, 14284, 7504
26, 14248, 7504
27, 14216, 7504
28, 14181, 7503
29, 14155, 7503
30, 14124, 7503
31, 14090, 7502
32, 14064, 7502
33, 14033, 7502
34, 14005, 7501
35, 13981, 7500
36, 13959, 7500
37, 13924, 7500
38, 13889, 7499
39, 13863, 7498
40, 13841, 7497
41, 13808, 7496
42, 13777, 7495
43, 13750, 7494
44, 13722, 7493
45, 13687, 7493
46, 13658, 7492
47, 13629, 7492
48, 13600, 7492
49, 13569, 7491
50, 13540, 7491
51, 13517, 7491
52, 13491, 7491
53, 13459, 7490
54, 13437, 7490
55, 13405, 7490
56, 13366, 7490
57, 13338, 7490
58, 13306, 7490
59, 13273, 7489
60, 13244, 7489
61, 13214, 7488
62, 13186, 7487
63, 13157, 7487
64, 13114, 7486
65, 13091, 7485
66, 13072, 7484
67, 13034, 7483
68, 13002, 7482
69, 12966, 7481
70, 12943, 7481
71, 12926, 7481
72, 12891, 7480
73, 12860, 7479
74, 12836, 7478
75, 12807, 7477
76, 12779, 7477
77, 12757, 7477
78, 12722, 7477
79, 12696, 7477
80, 12670, 7476
81, 12628, 7475
82, 12599, 7474
83, 12568, 7473
84, 12532, 7472
85, 12494, 7471
86, 12467, 7471
87, 12437, 7470
88, 12412, 7469
89, 12389, 7468
90, 12360, 7468
91, 12330, 7468
92, 12299, 7468
93, 12273, 7468
94, 12252, 7468
95, 12220, 7468
96, 12181, 7467
97, 12154, 7466
98, 12123, 7466
99, 12095, 7465
100, 12069, 7465
